Index,bloom_doy,Years,Date of bloom,Avg Humidity on BD(relative %),Jan temp,Feb temp,March temp,April temp,Avg Temp on BD,Precp. Winter,Precp. Spring
48,101,1969,4/11/1969,64,4.8,5,6.9,13.8,64,77.5,104.8333333
49,107,1970,4/17/1970,62,3.6,5.1,5,13.1,62,60,125.5
50,98,1971,4/8/1971,57,4.3,5.1,7.4,13.6,57,50.75,149.5
51,99,1972,4/8/1972,64,7.1,5.8,8.8,14.4,64,86.25,133.3333333
52,97,1973,4/7/1973,64,6.2,6.9,7.8,15.8,64,102.75,145.5
53,99,1974,4/9/1974,63,3.2,4.2,7,14.4,63,55,137
54,100,1975,4/10/1975,67,4,3.7,7.4,14.1,67,46.25,106.3333333
55,99,1976,4/8/1976,64,3.7,6.7,7.9,13.5,64,81.5,168.8333333
56,93,1977,4/3/1977,62,2.5,2.9,8.7,14.5,62,23.75,126
57,104,1978,4/14/1978,58,4.7,3.5,7.6,13.4,58,19.75,75.16666667
58,97,1979,4/7/1979,62,5.7,7.5,8,12.9,62,78.5,145.5
59,102,1980,4/11/1980,63,4.2,3.5,7.3,12.7,63,52.5,191.8333333
60,99,1981,4/9/1981,62,2.4,3.9,8.3,13.5,62,37.25,167.6666667
61,93,1982,4/3/1982,59,3.8,4.3,8.6,13.4,59,25,112.3333333
62,99,1983,4/9/1983,67,4.8,4.5,7.8,15.9,67,44.25,168.6666667
63,109,1984,4/18/1984,60,2.2,2.3,5.1,13.1,60,58,72.16666667
64,99,1985,4/9/1985,60,3.1,5.5,8.5,14.6,60,63.75,157.8333333
65,102,1986,4/12/1986,61,2.8,2.6,7.6,14.1,61,22.25,169.3333333
66,95,1987,4/5/1987,56,4.8,5.3,8.2,13.9,56,56.5,104.5
67,106,1988,4/15/1988,58,5.9,3.9,7.3,13.5,58,30.5,130
68,93,1989,4/3/1989,60,6.8,6.6,8.2,14.5,60,151.75,133.8333333
69,88,1990,3/29/1990,62,4.4,7.9,9.3,13.8,62,94.75,136.1666667
70,97,1991,4/7/1991,61,5.1,4.3,9.4,15,61,53.5,150
71,94,1992,4/3/1992,61,6.1,5.1,9.7,14.4,61,38.25,160.3333333
72,97,1993,4/7/1993,61,5.8,6.1,7.6,13.3,61,81.25,87.33333333
73,99,1994,4/9/1994,56,4.8,4.6,7.1,15.6,56,65,91.33333333
74,99,1995,4/9/1995,62,4.6,4.9,8.6,13.6,62,32.25,181.1666667
75,103,1996,4/12/1996,54,4.7,3.7,7.7,11.7,54,38.25,102.5
76,97,1997,4/7/1997,62,4.6,4.6,9.3,14.4,12.6,35.25,119.8333333
77,91,1998,4/1/1998,68,4.9,7,9.7,17.3,8.5,87.75,164
78,94,1999,4/4/1999,61,5.1,4.7,9.9,14.1,12.9,48.75,126.8333333
79,100,2000,4/9/2000,59,6,3.6,7.5,13.5,,47.5,109.8333333
80,96,2001,4/6/2001,55,3.9,5.3,8.6,14.7,10.2,96.5,87.5
81,91,2002,4/1/2002,59,5.7,6.1,10.3,15.8,14.8,44,120.1666667
82,98,2003,4/8/2003,64,3.9,5.5,7.3,15.1,16.1,80.75,139.1666667
83,92,2004,4/1/2004,52,4.3,6.4,9.1,15.4,15.79,35.5,155.3333333
84,99,2005,4/9/2005,51,4.5,4.9,7.7,15.3,15.8,46.75,70.66666667
85,98,2006,4/8/2006,58,4,5.5,7.5,12.6,16.42222222,70,138.5
86,97,2007,4/7/2007,54,5.8,7.3,8.6,13.5,12.01666667,47,84.83333333
87,95,2008,4/4/2008,58,4.6,3.6,9.6,14.4,13.66111111,54,166.6666667
88,95,2009,4/5/2009,53,5.2,6.7,8.8,14.6,12.88333333,108.75,102.5
89,95,2010,4/5/2010,59,4.7,6.8,8.5,12.6,15.8,86.5,187
90,99,2011,4/9/2011,60,2.8,6.3,6.8,12.5,15.29444444,45.25,194
91,101,2012,4/10/2012,62,4.1,4.1,8.3,14.2,17.32777778,73,101.5
92,93,2013,4/3/2013,58,3.9,4.5,9.7,13.4,13.86111111,68.5,71
93,94,2014,4/4/2014,53,4.4,5.1,9,14.4,11.94444444,45.5,103.3333333
94,93,2015,4/3/2015,64,4.9,5.6,9.4,15.6,18.06666667,82,150.1666667
95,95,2016,4/4/2016,61,5.7,6.4,9.9,16.1,16.05,88,132.3333333
96,99,2017,4/9/2017,61,4.8,5.1,8.2,14.8,15.49444444,50.5,83.66666667
97,89,2018,3/30/2018,59,3.9,4.4,10.9,16.4,14.38333333,33,168.3333333
98,95,2019,4/5/2019,59,5.1,6.9,9.6,13.9,14.86111111,33,86.66666667
99,92,2020,4/1/2020,56,7.5,6.9,10.6,12.9,14.51111111,59.75,109.1666667
100,85,2021,3/26/2021,64,5.1,7.7,11.6,14.8,4.688888889,54.75,191.1666667
