Date of bloom,Years,bloom_doy,Latitude ,Longitude ,Altitude,Avg Humidity on BD,Jan temp,Feb temp,March temp,April temp,Avg Temp on BD,Precp. Winter,Precp. Spring
3/30/2001,2001,89,47,8,350,86,3,5,10,9,9,0,0
3/18/2002,2002,77,47,8,350,54,2,6,9,9,9,0,0
4/2/2003,2003,92,47,8,350,56,1,-1,11,12,5,0,0
4/1/2004,2004,92,47,8,350,64,2,2,6,10,8,0,0
4/5/2005,2005,95,47,8,350,77,2,1,4,12,8,0,0
4/21/2006,2006,111,47,8,350,64,-2,1,6,9,16,0,0
4/4/2007,2007,94,47,8,350,61,6,6,7,14,12,0,0
3/29/2008,2008,89,47,8,350,71,4,4,5,9,9,0,0
4/10/2009,2009,100,47,8,350,65,0,2,6,11,13,0,0
4/8/2010,2010,98,47,8,350,69,-1,4,6,11,10,0,0
3/31/2011,2011,90,47,8,350,43,2,4,7,13,12,0,0
4/2/2012,2012,93,47,8,350,64,4,-3,8,10,10,0,0
4/17/2013,2013,107,47,8,350,69,2,0,4,10,18,0,0
3/25/2014,2014,84,47,8,350,36,4,6,8,12,16,0,0
4/11/2015,2015,101,47,8,350,61,3,2,7,11,15,0,0
4/6/2016,2016,97,47,8,350,66,4,5,6,10,10,0,0
3/26/2017,2017,85,47,8,350,73,-2,5,9,10,11,0,0
4/8/2018,2018,98,47,8,350,75,6,0,5,14,12,0,0
3/27/2019,2019,86,47,8,350,69,2,5,8,10,10,0,0
3/17/2020,2020,77,47,8,350,69,4,8,7,13,13,0,0
3/28/2021,2021,87,47,8,350,65,2,5,7,8,8,0,0
