Index,bloom_doy,Years,Date of bloom,Avg Humidity on BD,Jan temp,Feb temp,March temp,April temp,Avg Temp on BD,Precp. Winter,Precp. Spring
19,97,1956,"Friday, April 6, 1956",87,1.4,5.1,6.2,12,14.5,5.03,7.76
20,98,1957,"Monday, April 8, 1957",57.8,0.5,5.2,7.7,15.1,7.8,8.38,6.36
21,108,1958,"Friday, April 18, 1958",51.2,1.3,-0.4,5.2,13.9,18.5,12.27,13.54
22,96,1959,"Monday, April 6, 1959",58.8,1.6,3.9,7.4,14.7,23.6,5.34,9.1
23,105,1960,"Thursday, April 14, 1960",40.1,3.4,3.5,2,16.2,22.7,9.25,9.58
24,92,1961,"Sunday, April 2, 1961",41.4,-1.2,3.5,8.7,11.1,6.3,11.26,9.99
25,97,1962,"Saturday, April 7, 1962",63,1.4,1.4,6.8,13.5,13.8,8.12,10.19
26,93,1963,"Wednesday, April 3, 1963",59.4,-0.3,-0.6,9.2,14.3,20.3,7.13,7.48
27,102,1964,"Saturday, April 11, 1964",44.7,2.4,2.7,8.6,12.3,13.4,9.08,8.36
28,105,1965,"Thursday, April 15, 1965",60.5,0.8,2.7,5.2,11,12.7,7.49,7.74
29,95,1966,"Tuesday, April 5, 1966",37.5,0.2,2.3,8.6,11.5,8.2,7.99,7.51
30,96,1967,"Thursday, April 6, 1967",66.5,5,1.1,7.2,14.2,19.5,6.95,8.56
31,90,1968,"Saturday, March 30, 1968",44.6,-0.3,1.3,9.8,14.4,18.1,8.7,9.42
32,99,1969,"Wednesday, April 9, 1969",42.3,1.2,2.7,6.1,14.8,20.4,5.99,4.51
33,106,1970,"Thursday, April 16, 1970",56.9,-1.1,2.8,5.5,12.9,13.4,10.47,10.96
34,98,1971,"Thursday, April 8, 1971",43.2,-0.4,3.9,6.2,12.8,15.8,10.63,10.83
35,102,1972,"Tuesday, April 11, 1972",74.5,3.6,2.5,7.6,12.3,14,9.38,11.04
36,101,1973,"Wednesday, April 11, 1973",46.1,3.1,2.8,10.6,13.3,5.3,9.49,10.55
37,93,1974,"Wednesday, April 3, 1974",60.6,6.1,4,9.6,14.6,15.8,9.64,10.84
38,93,1975,"Thursday, April 3, 1975",44.8,4.9,4.8,7.3,12,9.7,9.08,12.17
39,83,1976,"Tuesday, March 23, 1976",49.7,1.1,8.3,10.7,15.5,9,9.15,7.25
40,85,1977,"Saturday, March 26, 1977",33.6,-3.7,3.8,11.5,15.6,8.3,4.15,6.56
41,102,1978,"Wednesday, April 12, 1978",36.1,0.3,-0.3,6.9,14.3,17.9,12.39,10.99
42,92,1979,"Monday, April 2, 1979",73.6,1.7,-2,10.8,13.3,7.3,16.26,7.88
43,97,1980,"Sunday, April 6, 1980",45.3,2.9,2.3,7.9,15.6,14.8,4.86,10.96
44,93,1981,"Friday, April 3, 1981",43.9,0.6,6.5,8.7,16.7,18.3,3.85,7.54
45,97,1982,"Wednesday, April 7, 1982",31.4,-2.2,3.5,7.6,12.2,3.8,8.4,10.94
46,97,1983,"Thursday, April 7, 1983",67.3,3.4,3.7,9.3,11.8,7.9,6.52,16.34
47,94,1984,"Tuesday, April 3, 1984",48.6,0.1,6.6,5.4,12.7,7.2,11.05,13.65
48,97,1985,"Sunday, April 7, 1985",43.4,-0.7,3.2,8.7,16.4,12.3,6.37,7.7
49,92,1986,"Wednesday, April 2, 1986",37.7,1.9,1.8,8.6,13.4,9.3,6.55,3.47
50,87,1987,"Saturday, March 28, 1987",50.8,1.5,2.8,8.7,12.7,10.1,11.99,6.36
51,91,1988,"Thursday, March 31, 1988",68.5,-0.6,2.9,8.4,12.4,15,8.23,8.77
52,88,1989,"Wednesday, March 29, 1989",60.1,4.4,3.2,7.8,13,23,6.59,15.57
53,74,1990,"Thursday, March 15, 1990",65.1,6.4,7.3,10.1,13.8,20.6,6.35,11.86
54,88,1991,"Friday, March 29, 1991",53.9,3.7,6.1,9.3,14.6,8.2,8.46,7.38
55,98,1992,"Tuesday, April 7, 1992",58.5,3.4,5.1,7.2,13,8.1,10.08,9.44
56,101,1993,"Sunday, April 11, 1993",52.2,4.3,1.3,5.7,12.7,11.8,8.03,13.84
57,95,1994,"Tuesday, April 5, 1994",73.2,-1.8,2.4,7.4,16.7,13.6,12.86,11.59
58,92,1995,"Sunday, April 2, 1995",50.6,4.2,1.3,9.6,13.5,7.3,7.28,8.22
59,95,1996,"Thursday, April 4, 1996",63.1,0.5,2.9,6.1,13.8,13.7,7,11.73
60,85,1997,"Wednesday, March 26, 1997",60,2.8,7.1,9.3,12.2,11.3,10.49,9.6
61,86,1998,"Friday, March 27, 1998",60.1,6.1,6.3,8.3,14.1,5.2,12.4,13.41
62,95,1999,"Monday, April 5, 1999",53.4,3.4,5,6.9,13.6,10.5,9.7,7.24
63,77,2000,"Friday, March 17, 2000",67.3,2.2,5.8,10.9,13.1,9.1,8.21,12.19
64,96,2001,"Friday, April 6, 2001",75.5,1.9,4.9,6.6,14.2,14.8,6.06,9.27
65,92,2002,"Tuesday, April 2, 2002",58.5,5.3,5.9,8.7,15.6,14.3,3.32,9.01
66,92,2003,"Wednesday, April 2, 2003",56.8,-0.5,0.9,8.4,12.8,17,13.84,13.81
67,91,2004,"Wednesday, March 31, 2004",66.8,-0.8,3.4,9.3,14.1,16,7.95,8.91
68,99,2005,"Saturday, April 9, 2005",58,2.3,4.2,6.2,14.1,13.6,7.99,13.4
69,89,2006,"Thursday, March 30, 2006",56.3,6.2,3.7,8.8,15.3,13.1,9.05,5.36
70,91,2007,"Sunday, April 1, 2007",63.1,4.8,-0.6,8.7,12,12.2,6.24,9.11
71,86,2008,"Wednesday, March 26, 2008",36.3,4.4,5,9.4,14.9,15.7,8.82,18.38
72,91,2009,"Wednesday, April 1, 2009",86,-0.2,4.3,7.3,13.9,11.7,6,14.24
73,90,2010,"Wednesday, March 31, 2010",35.6,1.8,1.2,10.7,16.1,15.2,11.07,7.45
74,88,2011,"Tuesday, March 29, 2011",33.3,0.9,5.4,7.6,14.9,6.2,6.15,9.3
75,80,2012,"Tuesday, March 20, 2012",82.4,4.9,6.9,13.8,14.6,18.8,9.42,6.22
76,99,2013,"Tuesday, April 9, 2013",48.2,4.6,3.6,6.6,14.9,22.8,7.23,8.38
77,100,2014,"Thursday, April 10, 2014",41.6,0.1,3.2,6.1,14.1,15.8,12.13,15.69
78,100,2015,"Friday, April 10, 2015",82.9,2,-0.9,7.4,15.2,11.6,8.91,9.37
79,85,2016,"Friday, March 25, 2016",60.9,1.6,4.4,11.9,13.8,17.5,11.31,8.86
80,84,2017,"Saturday, March 25, 2017",60.4,5.6,8.7,8.4,17.7,18.4,6.04,11.36
81,95,2018,"Thursday, April 5, 2018",36.5,2.1,7.4,6.4,12.7,7.4,6.23,14.24
82,91,2019,"Monday, April 1, 2019",35.6,2.9,5.7,8.2,16.9,5.6,12.64,11.21
83,80,2020,"Friday, March 20, 2020",64.2,5.8,6.6,11.8,12.9,21.8,9.28,11.1
84,87,2021,"Sunday, March 28, 2021",77.6,3.7,3.2,10.7,14.6,15.4,11.55,9.77
